texto,classe
aquisiçao de materiais necessários epis em caráter de urgência visando ações de combate ao coronavirus,1
aquisiçao de aventais e macacoes destinados ao enfretamento da emergencia de saude publica decorrente do coronavirvs covid  no muntcipio de picos pi,1
contratação de empresa especializada em caráter de urgência para adquirir dois ventiladores pulmonar mecânico pneumático para montagem de leitos de retarguada no hospital infantil lucídio portela hilp para preparar o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional,1
contratação de empresa especializada em caráter de urgência para para adquirir bombas de infusão equipo universal  para montagem de leitos de retarguada no hospital infantil lucídio portela hilp para preparar o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional responsável pelo surto de abrangência nacional,1
contratação de empresa especializada em caráter de urgência para adquirir aquisição de insumos laboratoriais destinados ao enfrentamento da emergência de saúde pública de importância nacional decorrente do coronavirus,1
contratação de empresa especializada para em caráter de urgência adquirir monitores multiparâmetros para montagem de leitos de retarguada no hospital infantil lucídio portela hilp para preparar o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional,1
contratação de empresa especializada para em caráter de urgência adquirir ventiladores pulmonares pressométrico e volumétrico para serem usados em crianças portadora de coronavirus com a finalidade de montar leitos de retarguada no hospital infantil lucídio portela hilp preparando o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional,1
fornecimento de medicamentos diversos e material hospitalar para o hospital estadual domingos chaves,1
fornecimento imediato de medicamentos essenciais e necessários a manutenção desta unidade de saúde para enfrentamento ao covid,1
prestação de serviços em caráter de urgência para adquirir monitores multiparâmetros para montagem de leitos de retarguarda no hospital infantil lucídio portela  hilp para preparar o hospital bem como dar estrutura para atender os pacientes infectados pelo covid  novo coronavírus responsável pelo surto de abrangência nacional,1
fornecimento de alcool em gel destinado ao enfrentamento da pandemia da covid  o âmbito do município de mil ton brandão  p,1
aquisição de cinco mil equipamentos de proteção individual protetor facial para distribuir para as unidades hospitalares como medidas de enfrentamento ao novo coronavírus,1
aquisição de equipamentos de proteção individual epis insumos e outros materiais para higienização de ambiente para atender a demanda do hospital getúlio vargas do hospital regional justino luz e da sede da fepiserh,1
aquisição de equipamentos de proteção individual epis insumos e outros materiais para higienização de ambiente para atender a demanda do hospital getúlio vargas hgv,1
aquisição de medicamentos e insumos álcool gel aventa cirúrgico filtro luva cirúrgica luva para procedimento etc,1
aquisição de material para laboratório de análises clínicas do ips,1
aquisição de equipamentos de proteção individual epis insumos e outros materiais para higienização de ambiente para atender a demanda do hospital regional justino luz hrjl,1
aquisição de medicamentos e insumos filtro luva máscara sapatilha e sistema fechado de aspiração,1
material médico hospitalar filme de ultrassonografia upp mmxm,1
aquisição de cem camas hospitalares tipo fawler elétrica para implementação de leitos em unidades hospitalares como medidas de enfrentamento ao novo coronavírus,1
aquisição de materiais e equipamentos lençóis de cama capas manga longa macacões manga longa e capuzes para o enfrentamento do covid  no município de paulistana pi,1
aquisição de testes rápidos destinados ao enfretamento da emergência de saúde pública decorrente do corona vírus covid  no município de picos pi,1
contratação de empresa para fornecimento de equlpamentos de proteção individual e testes rapidos de covid  para atender a situação emergencial decorrente da pandemia do covid  do município de brasileira pi,1
contratação emergencial de empresa especializada no fornecimento de kits de testes rápidos para detecnção do covid igg igm e alcool etilico destinado a atender as necessidades das unidades municipais de saúde em meio a pandemia docid,1
equipamentos de proteção individual destinados ao enfrentamento da pandemia da covid i o ámb to do município de milton brandão pi,1
aquisição de alcool gel devido a pandemia do covid  para atender a demanda da secretaria municipal de saúde de união pi,1
aquisição de igg lgm teste rápido sabonetinho mr eco bioclin para o enfrentamento do covid  no município de santo antonio de lisboapi,1
equipamentos hospitalares ratificação originalmente publicada em pg contrato publicado originalmente em pg retificado em pg em pg alterando a data de assinatura de para,1
contratação de empresa especializada para em caráter de urgência aquisição de materiais e insumos para o setor de fisioterapia do hospital infantil lucidio portela para serem utilizados em crianças suspeitas portadoras de covid  com a finalidade de montar leitos de retarguada no hospital infantil lucídio portela hilp preparando o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional,1
material medico hospitalar,1
aquisição emergencial de álcool etílico em gel para atender às necessidades da secretaria municipal de saúde em ações de contenção do novo coronavírus covid,1
material farmacológico,1
medicamentos,1
aquisição de epis máscaras de proteção facial,1
contratação de empresa para fornecimento de mascaras n e testes rápidos covid  para enfrentando da pandemia decorrente do novo coronavirus no município de jaicós pi,1
contratação de empresa para fornecimento de teste rápido teste covid  para o enfrentamento da pandemia do coronavírus covid  no município de francinópolis pi,1
aquisição de material hospitalar destinado ao enfrentamento do coronavirus,1
contratação de empresa para confecção artesanal de epi s para os profissionais da saúde na prevenção e combate ao covid no município de jaicós pi,1
material fisioterapia respiratória,1
equipamento hospitalar,1
aquisição de máscaras de caráter emergencial para a prevençao e ou combate ao covid  e para atender as necessidades da secretaria municipal de união pi,1
aquisição de materiais testes em caráter de urgência destinada ao enfrentamento da emergência de saúde pública decorrente do novo coronavírus covid  conforme lei federal  decreto municipal  para a secretaria municipal de saúde de piripiripi,1
aquisição de equipamentos de proteção individual para servidores dos estabelecimentos de saúde,1
aquis ição de mater iais necessár ios epis mascaras e alcool gel em ca rãter de urgência visando ações de combate ao coronavirus conforme processo administrativo,1
aquisição de epi,1
aquisição de equipamentos de proteção ndividual epi s em caráter de urgenncia e emergencia diante da existencia de pande mia do covid  novo coronavirus nos termos declarados pela organização mundial de saúde oms e as recomendações expedidas pelo ministéri da saúde a fim de subsidiar as ações e medidas de controle e prevenção do novo coronavirus ratificação publicada em pg,1
aquisição de material farmacológico,1
aquisição de material de proteção individual para prevenção covid,1
aquisição de oxigenio e regulado objetivando atender as necessidade desta secretaia municipal de saúde do municipio de caraúbas do piaui visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo coronavírus  covid i,1
aquisição de material de proteção individual epi,1
aquisição de medicamentos correlatos padronizados de uso específico em hemodiálise para atender as necessidades do hospital getúlio vargas hgv,1
aquisição de máscaras e embalagens paa kit higienice para atender as necessidades desta secretaria municipal de saúde do municipio ds caraúbos do piaui visto que no momento estamos em situação de emergência de saúde pública em decorrência do infecçõo humona pelo novo coronovirus covid,1
contratação de empresa para fornecimento de mascara n pffz para atender a demanda de imediata da secretaria municipal de saúde do município de são lourenço do piauí pi,1
aquisição de epis para prevenção do covid,1
aquisição de materiais de epis para prevenção covid,1
aquisição de material hospitalar para atender as necessidades das unidades basicas de saúde ubs,1
aquisição de equipamento hospitalar,1
aquisição de material de proteção individual para prevençao da covid  para o municipio de cocal dos alves pi,1
aquisiçao de teste coronavirus de caráter emergencial para a prevenção e ou combate ao covid  e para atender as necessidades da secretaria municipal de união pi,1
aquisição de medicamentos para atender a demanda do hospital regional justino luz hrjl,1
serviço de realização de exames para teste de covid  visando atender as necessidades da secretaria municipal de saúde de fronteiras pi,1
contratação de empresa para produção de mascaras respiratórias em intertela ftnt conforme especificações de boa filtragem do ar para atender as necessidades do municipio de ribeiro goncalves  pi,1
aquisição de epis,1
aquisição de alcool em gel para atender às necessidades do município de ribeiro gonçalves pi,1
aquisição de testes rápidos sabonetinho para atendimento às medidas de enfrentamento a pandemia do coronavírus covid  no município de são joão da canabrava pi,1
contratação de empresa para aquisição de máscara artesanal confeccionada ern tecido com elástico para enfrentamento da pandemia causada pelo coronavirus covid  conforme especificações e demais exigências previstas neste edital e seus anexos como se aqui estivessem transcritos,1
aquisição de álcool gel para a proteção dos profissionais de saúde no combate ao corona vir s covid  publicação original em com apostilamento em para inclusão da ação orçamentária e alteração e da fonte de recursos que era e e passou a ser,1
aquisição de máscaras para atender a demanda da secretaria municipal de saúde de união pi de caráter emergencial para a prevenção e ou combate ao covid  e para atender as necessidades do hospital municipal de união  pi,1
contratação de empresa para aquisição de materiais de epis em função da atualização dos protocolos de enfrentamento ao covid  conforme lei federal  decreto municipal  de de fevereiro de para suprir as necessidades da secretaria municipal de saúde de piripiri pi,1
aquisição de mascaras descartáveis para o combate ao corona virus covid,1
aquisição de dois mil coletores de material perfurocortante no material papelão com capacidade total de,1
aquisição de equipamentos e insumos oximetro de pulso portátil com sensor adulto lixeira com pedal aparelho de pressão digital,1
aquisição de quarenta mil álcool etílico líquido ihpm com litro e sessenta mil álcool etílico em gel fragrância agradável frasco de g a g,1
aquisição de epis avental calça macaclo màscara hospitalar propé e touca para o enfrentamento do covid  no município de santo antonio de lisboa pi,1
aquisição de epis para o enfrentamento do covid  no município de paulistana - pi publicação original à página do dom do dia    e retificada em    com valor sendo reduzido de r para r,1
aquisição de equipamentos para ampliação de leitos do hospital regional de paulistana no atendimento as vitimas do covid,1
aquisição de máscaras em tnt e tecido algodão,1
contratação de empresa para fornecimento de mascaras em tnt e capote em tnt para enfrentamento da pandemia decorrente do novo coronavjrus no município de são josé do piauí pi juntamente com sua secretaria municipal de ação social trabalho e cidadania,1
aquisição de quarenta monitores multiparamétricos para aparelhamento da rede hospitalar municipal no combate ao coronavírus,1
aquisição de alcool em gel para atender às necessidades do munldpio de ribeiro gonçalves pi,1
aquisição de fornecimento de álcool ioooml álcool em gel g e touca descartável c  para enfrentamento da pandemia do novo coronavirus no município de são josé do piauí junto com sua secretaria de ação social trabalho e cidadania,1
contratação de empresa para aquisição de máscara de proteção hospitalar  pff para enfrentamento da pandemia causada pelo coronavirus covid  conforme especificações e demais exigências previstas neste edital e seus anexos como se aqui estivessem transcritos,1
aquisição de material médico hospitalar,1
aquisição de setenta e cinco testes rápido de covid  visando atender as necessidades da secretaria municipal de saúde de fronteiras pi,1
contratação de empresa para fornecimento de epi s destinados aos profissionais da saúde a prevenção e combate ao covid o município de cocal de telha pi,1
aquisição de epi s equipamentos de proteçõo individual máscara n  touco álcool em gel álcool etllico liquido mascara descartável luvas para atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pi visto que no momento estamos em situação de emergência de saúde pública em decorrência do infecção humana pelo novo corona vírus covid,1
aquisição de equipamentos de proteção individual epi para atender as necessidades do município de luís correia pi,1
aquisição de monitores de pacientes b fit e módulos e minic,1
contratação de empresa para fornecimento de máscaras de tecido no combate e ou prevenção ao covid  e para atender as necessidades da secretaria de ação social e cidadania do município de união  pi,1
aquisição de epi s equipamentos de proteção individual álcool etílico liquido álcool em gel e luvas para atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piaui pi visto que no momento estamos em situação de emergência de saúde pública em decooência da infecção humana pelo novo corona vírus covid,1
aquisição de epi s equipamenlos de proteção individual máscaras luvas avental descartável álcool gel e toucas atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pi visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo corona virus covid,1
aquisição de epi s equipomentos de proteção individual avental descartável tnt para atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pi visto que no momento estamos em situação de emergência de saúde público em decorrência do infecção humano pelo novo corona vírus covid,1
aquisição de epi s equipamentos de proteção individual máscaras de tecido para atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pi visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo corona vírus covid  visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo corona virus covid,1
aquisição de epi s equipamenlos de proteção individual máscaras em tecido e macacão de napa manga longa para atender os necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pi visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo corona vírus covid,1
contrato de aquisição de alcool gel ml para atender as necessidade da secretaria municipal de saúde de oeiras para enfrentamento da emergência de saúde pública decorrente do coronavírus,1
contratação emergencial de empresa especializada no fornecimento de epi s destinados a atender as necessidades das unidades municipais de saúde em meio à pandemia do covid  possibilitando o desenvolvimento das atividades de atendimento à população de rio grande do piauí pi,1
aquisição de epis materiais hospitalares e outros de forma emergencial para combate a pandemia causada pelo covid,1
material hospitalar,1
aquisição de equipamento de proteção individual e afins para o combate ao covid  nomunicipio de lagoa piauí pi,1
aquisição de máscaras face tecido duplo com elástico de proteção individual reutilizável para o enfrentamento do covid  no município de santo antonio de lisboa pi,1
contratação de empresa para confecção artesanal de epi s para os profissionais da saúde na prevenção e combate ao covid no município de patos do piaui pi,1
contratação de empresa para fornecimento de máscaras pff e similares luvas prioritárias para uso em serviços de saúde pública em virtude da emergência relacionada ao sars cov,1
ventilador pulmonar de transporte para paciente adulto e infantil,1
aquisição de testes rápidos para o covid  e termômetro valor final retificado no dom de  que alterou o valor original de r para r,1
aquisição de testes rápidos para o covid,1
contratação de empresa do ramo para o fornecimento de quinhentos testes rápido sabonetinho mr eco covid  lgg lgm ecoteste em atendimento da demanda da secretaria municipal de saúde de bom jesus pi,1
fornecimento de materiais médico hospitalares para atender as necessidades do hospital getúlio vargas hgv,1
contratação de empresa para fornecimento de máscara semi facial filtrante com filtro bactericida acima de produzidas dentro das recomendações da rdc     com as normas do ministério da saúde anvisa e nbr para auxiliar no combate contra a pandemia covid  no município de cocal pi,1
contratação de empresa para o fornecimento de máscara artesanal com elástico confeccionada em tnt para enfrentamento da pandemia causada pelo coronavirus covid  conforme especificações e demais exigências previstas neste edital e seus anexos como se aqui estivessem transcritos,1
fornecimento de materiais cito álcool etílico gel luvas estéreis mascara cirúrgica descartável e álcool etílico líquido,1
contratação de empresa para aquisição de mascaras coletes faixas e jaleco para as ações de combate ao covid  desenvolvido pela secretaria municipal de saúde de bela vista do piauí  pi,1
aquisição de acessórios para uso de gases medicinais para a uti materna covid a fim de suprir o hospital maternidade dona evangelina rosa mder no enfrentamento da emergência de saúde pública decorrente do coronavirus,1
aquisição de testes rápidos do covid,1
contratação de empresa para fornecimento de testes rápidos para covid  para anticorpos de sars cov  para atender as demandas do fundo municipal de saúde do municipio de francisco santos pi,1
acrescimo de ao total originario do item contratado para o atendimento das necessidades da secretaria municipal de saúde para  aquisição de testes rápidos destinados ao enfrentamento da emergência de saúde pública decorrente do coronavvlrus covid  no municipio de picos pi  novo valor total é de r,1
aquisição de máscaras de tecido para atender as necessidades desta secretaria municipal de saúde do município de bom princípio do piauí pl visto que no momento estamos em situaçõo de emergência de saúde pública em decorrência da infecção humanao pelo novo corona virus covid,1
contratação de pessoa jurídica para o fornecimento de materjais de insumos e epi s ao municipio de batalha pi,1
contratação de confecção de máscaras de tecido para o enfrentamento do covid  para o município de brasileira pi,1
aquisição de fardamento epi e  roupas cirúrgicas para a secretaria municipal de saúde do município,1
aquisição de equipamentos do laboratorio de processamento retificação,1
aquisição de máscaras face tecido duplo com elástico de proteção individual reutilizável para o enfmitamento do covid  no município de bocaina pi,1
aquisição de vinte e um equipamentos aspiradores de secreções para implementação de leitos em unidades de terapia publicado originalmente no dia pg,1
fornecimento imediato de álcool líquido e em gel luvas estéreis e máscaras cirúrgicas descartáveis em virtude da necessidade de minimizar os riscos de contaminação pela covid  corona vírus,1
contratação de empresa para fornecimentos de epis para os profissionais no combate covid no município de dom lnocêncio pl,1
aquisiçao de mascaras de proteçao para a população que se enquadra no grupo de risco na contração do covid  do município de são raimundo nonato pi foi publicado sem valor no dom e teve o valor complementado com informações do sistema contratos web do tce pi,1
aquisição de duzentos kits para testes rápidos de detecção da sars cov  covid,1
fornecimento emergencial de equipamentos de epis composto por aventais máscara semi facial filtrante e máscara cirúrgica destinados à secretaria municipal da saúde de cristino castro pi,1
aquisição de medicamentos e material hospitalar,1
equipos bomba b braum,1
contratação de empresa para a fornecimento de cinquenta testes rápidos para covid  para atender as necessidades da secretaria municipal de saúde de francisco macedo,1
contratação de empresa para fornecimento de testes rápidos de coronavírus covid  para o município de belém do piauí,1
contratação direta de pessoa juridica para compra emergencial de máscaras e aventais para as equipes de saúde no enfrentamento da pandemia do novo coronavirus covid  no municipio de barro duro · pi,1
aquisiçao de avental com mangas longas em tnt gr propes em tnt e touca em tnt para os profissionais da saúde do município de são raimundo nonato pi foi publicado sem valor no dom e teve o valor complementado com informações do sistema contratos web do tce pi,1
aquisição de dez hemogasômetro portátil para medidas em beira de leitos em unidades hospitalares tendo em vista risco iminente da pandemia publicação original em pg,1
aquisiçao de equipamentos de proteçao basica testes covid  e insumos para auxiliar no combate contra a pandemia covid  no municipio de parnaiba pi,1
aquisiçao de equipamentos de protecao basica testes covid  e insumos para auxiliar no combate contra a pandemia covid  no municipio de parnaiba pi,1
aquisição em carater emergencial de máscaras semifacial filtrante produzidas dentro das recomendacédes da rdc n° de    com as normas do ms anvisa e nbr para auxiliar no combate contra a pandemia covid  no municipio de parnaiba pi,1
aquisiçao de mascaras de proteçao tripla com elástico para os profissionais da secretaria municipal de saúoe do município de são raimundo nonato pi foi publicado sem valor no dom e teve o valor complementado com informações do sistema contratos web do tce pi,1
aquisição de material de proteção individual,1
aquisição de medicamentos ácidos graxos cefepima ceftriaxona e outros em caráter emergencial para suprir o hospital maternidade dona evangelina rosa mder no enfrentamento da emergência de saúde pública decorrente do novo coronavirús covid,1
aquisição de epis macacão manga longa,1
aquisiçao de materiais de insumos e material hospitalar para uso no hospital nossa senhora de fatima para atender pacientes infectados pelo covid,1
aquisição de materiais e insumos médico hospitalares para o serviço de pronto atendimento e alas médicas e cirúrgicas do hospital regional justino luz hrjl,1
aquisição de kit´s máscaras de ventilação artificial ppc nasal neonatal em caráter emergencial,1
aquisição de alcool em gel ° para atender as necessidades da secretaria municipal de saude frente ao combate a pandemia do covid  no municipio de parnaiba pl,1
aquisição emergencial gasômetro analisado para gases sanguíneos eletrólitos e metabólicos,1
aquisição de alcool em gel engarrafas de ml para os profissionais da area da saúde para atender as necessidades desta secretaria municipal de saúde do municipio de caraúbas do piauí,1
contratação de pessoa jurídica especializada no fornecimento em caráter emergencial de material de consumo antisséptico e epis para atender a prefeitura municipal de prata do piauí pi com o propósito de instrumentalizar as medidas de enfrentamento da emergência de saúde pública instalada pelo novo coronavírus fundamentação retificada no dia pg,1
aquisição de insumos equipamentos de proteção individual para a secretaria municipal de saúde,1
contratação de empresa para fornecimento de camas hospitalares para equipar os leitos do hospital florisa silva no comabte ao covid  no municipio de jaicós pi,1
contratação de empresa para aquisição de tres mil mascaras pff em função da atualização dos protocolos de enfrentamento ao covid,1
contratação de empresa para aquisição de equipamentos de proteção individual para uso de combate ao covid,1
aquisição de álcool em gel de mi para o enfrentamento do covid  no município de bocaina pi,1
contratação de empresa para fornecimento de epi s equipamentos de proteção individual e saneantes para o enfrentamento da pandemia do novo coronavírus covid  no município de francinópolis pi,1
material hospitalar publicação original em pg,1
aquisição de epis equipamentos e medicamentos,1
aquisição de cem equipamentos hospitalares monitores multiparâmetros com capnografia para implementação de leitos em unidades de terapia como medida de enfrentamento ao novo coronavírus,1
fornecimento de álcool etílico hidratado em gel para auxílio no combate a pandemia do novo coronavirus no município de valença do piauí pi,1
contratação de empresa para aquisição de macacao tipo capote cirurgico impermeavel em função da atualização dos protocolos de enfrentamento ao covid,1
cateteres publicado originalmente em pg,1
contratação de empresa para fornecimento de cem testes rápidos para diagnóstico da covid  igg igm para a secretaria municipal de saúde de alvorada do gurguéia pi,1
aquisição de testes rápidos sabonetinho para atendimento às medidas de enfrentamento a pandemia do coronavirus covid  no municipio de são joão da canabrava pi,1
aquisição de material médico hospitalar para uso especifico em hemodialise cateter equipo de sangue isolador e dialisador para o hospital getúlio vargas hgv,1
fornecimento de bombas de infusão para atender as necessidades do hospital regional de campo maior,1
contratação de empresa para o fornecimento de medicamentos para enfrentamento da pandemia causada pelo coronavirus covid,1
contratação de empresa especializada para em caráter de urgência adquirir teste rápido para diagnóstico de covid paratestagem de pacientes e funcionários do hospital infantil lucídio portela hilp visando atender os pacientes e funcionários infectados pelo covid  coronavirus responsável pelo surto de abrangência nacional ratificado em pg publicado originalmente em pg,1
aquisição de material medico hospitalar,1
aquisição de epis e materiais para enfrentamento do covid  no município de arraial pi,1
aquisição de epis alcool avental luvas máscaras e luvas para o enfrentamento do covid  no município de campo grande do piauí pi,1
aquisição de equipamentos de proteção individual epi o para atendimento as medidas de enfrentamento a pandemia do coronavirus covid  no municipio de são joão da canabrava pi,1
fornecimento de material médico hospitalar para uso específico em hemodiálise pelo período de noventa dias para atender as necessidades do hospital getúlio vargas hgv,1
aquisição de testes covid,1
aquisição de epis para prevenção covid  o município de angical do piauí pi,1
aquisição de testes rápidos destinados ao enfrentamento da emergência de saúde pública decorrente do corona vírus covid  no município de oeiras pi,1
aquisição de máscara respiratória pff sem válvula para o enfrentamento do covid  no município de bocaina pi,1
aquisição de insumos kits em equipamento extrator automatizado de ácidos nucleicos abbott msp para atender ao laboratório central de saúde pública dr costa alvarenga lacen pi,1
aquisição de soros,1
aquisição de medicamento,1
aquisição de máscaras face tecido duplo com elástico de proteção individual reutilizável para o enfrentamento do covid  no municipio de santo antonio de lisboa pi,1
aquisição de serviço de confecção de aventais em tecido para o combate ao coronavirus covid,1
contratação de empresa especializada no fornecimento de álcool etílico hidratado em gel para auxílio no combate a pandemia do novo coronavírus no município de novo oriente do piauí pi,1
contratação de serviços de pessoa física para confecção de jaleco e máscaras de proteção em decorrência de situação emergencial de entretamento da pandemia do novo coronavírus covid  para os profissionais da saúde de pajeú do piauí pi,1
aquisição de serviço de confecção de mascaras em tecido para o combate ao coronavirus covid,1
aquisição de material laboratorial tubos de falcon e swab para atender ao laboratório central de saúde pública dr costa alvarenga lacen pi,1
aquisição de testes rápidos destinados ao enfretamento da emergência de saúde pública decorrente do coronavírus covid  no município de arraial pi,1
aquisição de equipamento de analise imunológica sistema de iluminação fluorescente f line de plataforma única menu de testes resultados qualitativos e quantitativos para o município de lpiranga do piauí pi,1
aquisição de testes covid ag antígeno para o município de lpiranga do piauí pi,1
contratação de pessoa jurídica especializada ao fornecimento em caráter emergencial de material de consumo antisséptico e epi s para atender a prefeitura municipal de campinas do piauí pi com o propósito de instrumentalizar as medidas de enfrentamento da emergência de saúde pública instalada pelo novo coronavírus fundamentação retificada em pg,1
aquisição de álcool em gel mascaras e sabonete liquido para o combate à pandemia da covid,1
contratação direta para aquisição de máscaras anat semi facial filtrante destinado a as ações de combate e prevenção da pandemia covid  em uruçuí pi,1
aquisição de testes rápido para covid  a serem utilizados em medidas preventivas de testagem visando reduzir o risco de contágio em virtude da real situação pandêmica do país,1
contratação de empresa especializada para o fornecimento de teste rápido do covid para teste em pessoas suspeitas e não suspeitas de estar com covid coronavirus serão usadas pela secretaria municipal de saúde deste município medida preventiva conter a propagação do covid  os teste serão realizados por pessoas capacitadas e treinadas nos pontos de atendimento de saúde em visitas domiciliares em pessoas recém chegadas de outros municipios e ou estados e etc,1
contratação direta para aquisição de tecidos tnt popeline bramante destinados aos profissionais da saúde deste município que atuam na linha de frente nas ações de combate e prevenção da pandemia do novo coronavirus covid,1
contratação direta para aquisição de álcool em gel a ser distribuldo aos profissionais da saúde em contato aos usuários do sistema de saúde deste município em virtude da pandemia da covid,1
dieta enteral,1
